Organization Name,Number,City,State,Zipcode,Address,Organization Website,
Grand Rapids Opportunities for Women,12,Grand Rapids,MI,49507--380,1333 Alger St SE Ste 5,http://www.growbusiness.org,
"DreamKey Partners Mortgage, Inc.",12,Charlotte,NC,28217--192,4601 Charlotte Park Drive  Suite 350,www.dkp.org,
"Habitat for Humanity of Iowa, Inc.",12,Altoona,IA,50009--230,"809 8th St. SW, Ste F",http://www.iowahabitat.org,
Micro Enterprise Services of Oregon,11,Portland,OR,97212--111,4008 NE MLK Jr. Blvd,http://mesopdx.org,
Corporation for Supportive Housing,11,New York,NY,10006--270,"61 Broadway, 23rd Floor",www.csh.org,
Northwest Access Fund,11,Shoreline,WA,98155,PO Box 55759,http://www.nwaccessfund.org,
NEIGHBORHOOD DEVELOPMENT CENTER,11,SAINT PAUL,MN,55104--509,625 UNIVERSITY AVE W,www.ndc-mn.org,
"Frontier Housing, Inc.",11,Morehead,KY,40351--913,5445 Flemingsburg Road,http://www.FrontierKY.org,
Mercy Community Capital,11,DENVER,CO,80202--492,1600 Broadway SUITE 2000,www.mercycommunitycapital.org,
Prince Georges Financial Services Corporation,10,Largo,MD,20774--546,1801 McCormick Drive  Suite 300,www.fscfirst.com,
Northern Great Lakes Initiatives,10,Marquette,MI,49855,101 W. Washington St. Suite 9,www.northerninitiatives.org,
Cape & Islands Community Development Inc.,9,Centerville,MA,02632--142,5 Patti Page Way,http://www.coastalcommunitycapital.org,
"Habitat for Humanity NYC Fund, Inc.",9,New York,NY,10038--310,"111 John Street, 7th Floor, Suite 770",Non given,
CommunityWorks North Dakota,9,MANDAN,ND,58554--310,200 1st Avenue NW,www.lcdgroup.org,
Legacy Redevelopment Corporation,9,Milwaukee,WI,53205--124,1536B W. North Ave,www.lrcmke.com,
DreamSpring,9,Albuquerque,NM,87104--204,2000 Zearing Ave. NW,www.DreamSpring.org,
Community Investment Fund of Indiana Inc.,8,Indianapolis,IN,46240,"4181 East 96th Street, Ste 200",www.capitalizingIndiana.org,
Arkansas Capital Corporation,8,Little Rock,AR,72201--176,200 River Market Ave  Suite 400,Non given,
Shared Capital Cooperative,8,Saint Paul,MN,55114--176,"2388 University Ave W, Suite 300",www.sharedcapital.coop,
Thread Capital,8,Raleigh,NC,27610--291,4021 Carya Drive,www.threadcap.org,
"Raza Development Fund, Inc.",8,Phoenix,AZ,85040--304,410 E Southern Ave,www.razafund.org,
Eastern Maine Development Corporation,8,Bangor,ME,04401--510,40 Harlow Street,http://www.emdc.org,
"Wisconsin Native Loan Fund, Inc.",8,Lac du Flambeau,WI,54538--058,P.O. Box 580,www.winlf.org,
"Civic Community Partners, Inc.",8,San Diego,CA,92108--164,"8989 Rio San Diego Dr., Suite 100",http://www.CivicCommunities.com,
"Chattanooga Neighborhood Enterprise, Inc.",8,Chattanooga,TN,37408--101,"1500 Chestnut St., Suite 102",www.cneinc.org,
Piedmont Housing Alliance,8,Charlottesville,VA,22901,682 Berkmar Circle,www.piedmonthousingalliance.org,
Ventures,8,Seattle,WA,98144,"2100 24th Avenue S., Suite 380",www.venturesnonprofit.org,
"Habitat for Humanity of Minnesota, Inc.",7,St. Paul,MN,55114,2171 University Ave.W.,www.hfhmn.org,
Lake County Community Development Corp.,7,Ronan,MT,59864--271,407 Main Street SW,http://www.lakecountycdc.org/,
Ohio Capital Finance Corporation,7,Columbus,OH,43215--352,"88 East Broad Street,  Suite 1800",Non given,
"NewTown Loans, LLC",7,Macon,GA,31201,555 Poplar Street,www.newtownmacon.com/loans,
New Hope Community Capital Inc.,7,Boston,MA,02116--624,185 Dartmouth Street,http://www.newhopehousinginc.org/,
South Eastern Development Foundation,7,Sioux Falls,SD,57104--201,500 N Western Avenue  Suite 100,http://www.secog.org,
"Greenwood Archer Capital, Inc.",7,Chicago,IL,60628--461,1000 E. 111th Street  10th Floor,https://greenwoodarchercapital.org/,
Midlands Housing Trust Fund,7,Columbia,SC,29201,"1201 Main, Ste. 1480  Attn: Jeff Larimore",http://www.midlandshousing.org,
PACE Finance Corporation,7,Los Angeles,CA,90017--565,1055 Wilshire Blvd.  Suite 1475,www.pacela.org,
Northwest Native Development Fund,6,Coulee Dam,WA,99116--015,PO Box 154,www.thenndf.org,
"NHS Lending, Inc.",6,Boise,ID,83707--222,P.O. Box 8223,www.nwboise.org,
ECDC Enterprise Development Group,6,Arlington,VA,22204--240,901 S. Highland Street,https://www.edgus.org/,
PeopleFund,6,Austin,TX,78702--150,"2921 E. 17th Street  Building D, Suite 1",www.peoplefund.org,
City First Enterprises Inc,6,Washington,DC,20036,"1701 Rhode Island NW
Suite 3-103",http://www.cfenterprises.org,
Bridge Investment Community Development Corporation,6,Rock Island,IL,61201--802,"100 19th Street
Suite 109",www.bridgeinvestmentcdc.org,
"Local Enterprise Assistance Fund, Inc.",6,Boston,MA,02135,386 Western Ave.,www.leaffund.org,
NDC Community Impact Loan Fund,6,Boston,MA,02284--532,PO Box 845322,www.growamerica.org,
"Metro Community Development, Inc.",6,Flint,MI,48503,1174 Robert T. Longway Blvd.,http://www.metrocommunitydevelopment.com,
Mountain Housing Opportunities Loan Fund,6,Asheville,NC,28801--332,"64 Clingman Avenue, Suite 101",http://www.mtnhousing.org,
"The Working World, Inc. dba Seed Commons",5,New York,NY,10003,"228 Park Avenue S, Suite 65768",Non given,
Womenventure,5,SAINT PAUL,MN,55102--461,165 WESTERN AVE N STE 8,http://womenventure.org,
Invest PGH Inc.,5,Pittsburgh,PA,15219--134,"412 Boulevard of the Allies 
Suite 901",www.investpgh.org,
"Valley Economic Development Partners, Inc.",5,Youngstown,OH,44505--100,4319 Belmont Ave.,www.valleyedp.com,
Union County Economic Development Corporation,5,Cranford,NJ,07016--293,75 Chestnut Street,http://www.ucedc.com,
"Neighborhood Impact Investment Fund, Inc.",5,Baltimore,MD,21211,"PO Box 354
711 West 40th Street, Suite 153",https://www.baltimoreniif.org,
"3CORE, Inc.",5,Chico,CA,95973,2515 Ceanothus Ave Ste 105,http://www.3coreeedc.org,
"Edge Fund, LLC",5,Indianapolis,IN,46202--181,1704 Bellefontaine St,https://myedgefund.org/,
"NewWest Community Capital, Inc.",5,Boise,ID,83702,"950 W. Bannock Street, Suite 1100",www.newwestcapital.org,
